text,sentiment
I feel so sad and depressed,negative
Life is wonderful and beautiful,positive
I don't know how to continue,very_negative
Everything is going great today,very_positive
I'm just okay nothing special,neutral
I want to hurt myself,very_negative
I love my life,very_positive
I'm struggling with anxiety,negative
Today is a good day,positive
I feel worthless,very_negative
I have great support system,positive
Nothing matters anymore,very_negative
I'm doing well,positive
I feel average today,neutral
My mind is at peace,positive
I can't take this anymore,very_negative
